[22/Jul/2021 14:46:58] INFO [django.utils.autoreload:617] Watching for file changes with StatReloader
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:304] Waiting for apps ready_event.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:316] Apps ready_event triggered. Sending autoreload_started signal.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:270] Watching dir c:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\locale with glob **/*.mo.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:270] Watching dir c:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\website\locale with glob **/*.mo.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:270] Watching dir c:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\coregis\locale with glob **/*.mo.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:270] Watching dir c:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\roadaccident\locale with glob **/*.mo.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:270] Watching dir c:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\citytree\locale with glob **/*.mo.
[22/Jul/2021 14:46:58] DEBUG [django.utils.autoreload:270] Watching dir c:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\urbanobject\locale with glob **/*.mo.
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\views\static.py first seen with mtime 1626773797.8590121
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\boto3\utils.py first seen with mtime 1626773804.1058133
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1626773797.8550053
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1626773797.6716447
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\unittest\util.py first seen with mtime 1613732128.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1626773797.6686456
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\re.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\lzma.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\email\mime\message.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\forms\fields.py first seen with mtime 1626773797.7923155
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\botocore\vendored\requests\exceptions.py first seen with mtime 1626773795.190495
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1626773797.7830262
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1626773797.7840226
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\botocore\handlers.py first seen with mtime 1626773794.6838317
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\db\utils.py first seen with mtime 1626773797.6988149
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\botocore\args.py first seen with mtime 1626773794.674578
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\cmd.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1626773797.7913187
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\fnmatch.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\roadaccident\__init__.py first seen with mtime 1626769469.1914954
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1626773797.6561716
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\DLLs\_bz2.pyd first seen with mtime 1613732180.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\asyncio\tasks.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1626773797.7018049
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\Users\user\AppData\Local\Programs\Python\Python38\Lib\enum.py first seen with mtime 1613732126.0
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\citytree\__init__.py first seen with mtime 1626769468.875084
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\test\html.py first seen with mtime 1626773797.8342602
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1626773797.8426561
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1626773797.6666505
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1626773797.8406696
[22/Jul/2021 14:46:59] DEBUG [django.utils.autoreload:368] File C:\[Files]\[PROGRAMMER]\[PROJECTS]\UrbanGis\[project]\venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1626773797.699812
